Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Labels
"Story","Notify Care Coordinator to book once eligibility is resolved","As a Care Coordinator, I want to receive a distinct task once a patient's insurance eligibility case reaches a resolved outcome, so that I know it's appropriate to book their first appointment.

Why we're working on this: today, nothing tells a coordinator that billing has finished verifying coverage - this is the missing loop-closing signal described in the PRD.

Why it's important: booking before eligibility is known risks a visit that isn't actually covered as expected, creating billing surprises for the patient and claim risk for the practice.

Business impact: directly reduces claim-denial and billing-surprise risk by gating the 'ready to book' signal on a confirmed eligibility outcome rather than staff guesswork.

Acceptance criteria:
- A task is created for the original assigned coordinator when the linked eligibility worklist item reaches Verified-Active, Verified-Inactive, Verified-Not-Covered, or Self-Pay-Confirmed
- The task clearly surfaces the resolved eligibility outcome so the coordinator knows what to communicate to the patient when booking","","Care Coordinator Assignment Automation","Highest","onboarding,care-coordinator,billing"
"Epic","Revenue Management Role and Worklist","Introduces a new Revenue Management role, distinct from Admin, Care Coordinator, Provider, and Patient, scoped to owning the insurance-eligibility worklist created when a patient submits insurance during onboarding.

Why we're working on this: eligibility verification is billing/revenue-cycle work that shouldn't sit in the Care Coordinator's queue or require an existing role to absorb it informally.

Why it's important: without a dedicated role and queue, insurance verification work has no clear owner and no consistent process, which is exactly the gap the PRD identifies.

Business impact: creates clear ownership and accountability for insurance verification, which directly protects revenue by catching inactive/excluded coverage before a visit happens rather than after a claim is denied.","Revenue Management Role and Worklist","","Highest","billing,rbac"
"Story","Define and provision the Revenue Management role","As a platform administrator, I want to create a Revenue Management role - separate from Care Coordinator, Provider, Admin, and Patient - scoped to the eligibility worklist, so that RCM staff have exactly the access they need and no more.

Why we're working on this: this role doesn't exist yet in the platform's role model, and the eligibility worklist needs an owner role to be assigned to and gated behind.

Why it's important: without a distinct role, either access is over-granted (e.g. via an existing role) or under-specified (no one can be assigned worklist items at all).

Business impact: keeps the principle of least privilege intact as the platform adds a new operational function, and sets up a role that can extend to broader revenue-cycle work (claims, denials, payment posting) in future phases.

Acceptance criteria:
- A Revenue Management role is selectable/available alongside the existing roles
- Only users with this role (or Admin) can view/action the eligibility worklist","","Revenue Management Role and Worklist","Highest","billing,rbac"
"Story","Build the Revenue Management eligibility worklist queue","As a Revenue Management staff member, I want a worklist view of all submitted insurance cases awaiting or undergoing eligibility verification, so that I can pick up and work cases in a structured queue rather than an ad hoc list.

Why we're working on this: Step 5 (insurance submission) needs a real destination queue for Revenue Management to work from - this is that destination.

Why it's important: without a structured queue, submitted insurance information has nowhere to go and eligibility verification can't actually happen.

Business impact: makes insurance verification a trackable, manageable operational process instead of relying on someone remembering to check.

Acceptance criteria:
- Lists worklist items grouped/filterable by current state (see the Insurance Eligibility State Machine epic)
- Supports self-pick and shows current assignee once picked
- Surfaces the underlying submitted insurance data (payer, member ID, card images, cardholder info) needed to actually perform verification","","Revenue Management Role and Worklist","Highest","billing"
"Story","Surface carve-out redirect guidance on a worklist item","As a Revenue Management staff member, I want the worklist item to flag when a payer's behavioral-health benefits are carved out to a separate vendor (e.g. Optum Behavioral Health behind United Healthcare), so that I verify against the correct network, payer ID, and authorization rules instead of the medical payer on the card.

Why we're working on this: carve-out arrangements are a known, recurring real-world complication in behavioral-health insurance verification that isn't obvious from the insurance card alone.

Why it's important: verifying against the wrong payer/network wastes RCM time and can produce an incorrect eligibility outcome.

Business impact: reduces incorrect eligibility determinations and rework caused by verifying against the wrong entity for carve-out plans.

Acceptance criteria:
- A worklist item supports flagging/recording carve-out vendor details (vendor name, payer ID, notes)
- This is presented as contextual guidance on the item, not modeled as a separate workflow state","","Revenue Management Role and Worklist","Medium","billing"
"Epic","Insurance Eligibility State Machine","Implements the defined eligibility-verification state machine (Pending, In-Progress, On-Hold, Verified-Active, Verified-Inactive, Verified-Not-Covered, Unable-to-Verify, Self-Pay-Confirmed, Expired) that every submitted insurance case moves through, per the approved state diagram.

Why we're working on this: eligibility verification needs a defined, consistent set of states and transitions rather than an unstructured 'someone checks it eventually' process.

Why it's important: this state machine is what makes the outcome of verification auditable and is the basis for both the patient-facing status and the Care Coordinator booking prompt.

Business impact: gives the business a consistent, measurable eligibility-verification process (e.g. time-in-state reporting becomes possible), and is the mechanism that actually prevents booking against unconfirmed coverage.","Insurance Eligibility State Machine","","Highest","billing"
"Story","Implement Pending -> In-Progress task pickup","As a Revenue Management staff member, I want to pick up a Pending worklist item (self-pick or round robin) and move it to In-Progress, so that it's clear who is actively working a case.

Why we're working on this: this is the entry transition into active verification work and needs to record who picked it up and when.

Why it's important: without a clear pickup transition, multiple staff could duplicate work on the same case, or a case could sit unclaimed indefinitely.

Business impact: prevents duplicated verification effort and gives visibility into unclaimed (Pending) work for staffing/capacity decisions.

Acceptance criteria:
- Picking up a Pending item requires either explicit self-pick or an automated round-robin assignment
- The item records assignee and pickup timestamp","","Insurance Eligibility State Machine","High","billing"
"Story","Implement verification outcome transitions from In-Progress","As a Revenue Management staff member, having verified coverage via portal, phone, or clearinghouse, I want to record the outcome as Verified-Active, Verified-Inactive, or Verified-Not-Covered, so that the case reaches a clear, actionable resolution.

Why we're working on this: these are the three core 'we successfully checked and here's what we found' outcomes in the state diagram.

Why it's important: each outcome implies different next steps for the patient and the Care Coordinator (e.g. Verified-Not-Covered likely leads to a self-pay conversation, distinct from a straightforward Verified-Active).

Business impact: is the core mechanism protecting the practice from booking/billing against coverage that turns out to be inactive or excludes the requested service.

Acceptance criteria:
- RCM can record which verification channel was used (portal/phone/clearinghouse)
- Each of the three outcomes is individually selectable and timestamped
- Reaching any of these three outcomes fires the 'eligibility resolved' trigger (see Care Coordinator Assignment Automation epic)","","Insurance Eligibility State Machine","Highest","billing"
"Story","Implement On-Hold / info-missing loop","As a Revenue Management staff member, I want to place a case On-Hold when more information is needed from the patient, and return it to In-Progress once that information is received, so that incomplete cases don't block the queue or get resolved incorrectly.

Why we're working on this: verification sometimes can't proceed without more information from the patient/guardian (e.g. a missing member ID digit).

Why it's important: without an explicit On-Hold state, staff would either guess, stall, or incorrectly mark the case as Unable-to-Verify.

Business impact: keeps eligibility outcomes accurate by giving staff a correct place to park a case pending more information rather than forcing a premature outcome.

Acceptance criteria:
- On-Hold captures what information is missing
- Receiving the information transitions the case back to In-Progress, not to a fresh Pending state","","Insurance Eligibility State Machine","Medium","billing"
"Story","Implement Unable-to-Verify -> patient self-pay conversion","As a Revenue Management staff member, when a payer is unreachable or information conflicts and verification genuinely can't be completed, I want to record Unable-to-Verify and offer the patient a self-pay path, so that the case still reaches a resolvable outcome instead of stalling indefinitely.

Why we're working on this: not every case can be verified (unreachable payer, irreconcilable conflicting dates) - the state machine needs a defined exit path rather than leaving these cases open forever.

Why it's important: an indefinitely stuck case blocks the Care Coordinator's booking prompt from ever firing.

Business impact: ensures every onboarding case reaches a bookable resolution one way or another, protecting the patient's time-to-first-visit.

Acceptance criteria:
- Unable-to-Verify requires a reason (payer unreachable / conflicting information / other)
- Patient opting for self-pay moves the case to Self-Pay-Confirmed, which also fires the 'eligibility resolved' trigger","","Insurance Eligibility State Machine","High","billing"
"Story","Implement Expired and re-verification transitions","As a Revenue Management staff member, I want Verified-Active cases to automatically move to Expired once their coverage termination date passes, and want both Expired and Verified-Inactive cases to be resubmittable for re-verification back into In-Progress, so that coverage status stays current over time rather than being a one-time check.

Why we're working on this: insurance coverage isn't static - a policy verified as active at intake can lapse, and a policy initially inactive might become active later.

Why it's important: without this, a patient's eligibility status on file could silently go stale and no longer reflect their actual coverage.

Business impact: keeps coverage status accurate over the life of the patient relationship, not just at the moment of onboarding, reducing the chance of a claim being filed against lapsed coverage.

Acceptance criteria:
- Expiration is system-triggered based on the recorded termination date, not manually flagged
- Re-verification is manually triggerable from both Expired and Verified-Inactive, and returns the case to In-Progress","","Insurance Eligibility State Machine","Medium","billing"
"Epic","Patient-Facing Eligibility Visibility","Ensures the patient's own insurance/coverage view reflects the current eligibility-verification outcome without requiring any staff action to communicate it to them.

Why we're working on this: the existing Patient Portal insurance page already models an eligibility status concept (active/inactive/pending/unknown) - it needs to reflect the outcome of the new Revenue Management workflow rather than a static/manual value.

Why it's important: patients otherwise have no way to know whether their coverage was actually confirmed before their visit, which is exactly the transparency gap this feature is meant to close.

Business impact: reduces inbound patient questions/support volume about insurance status and builds trust by proactively surfacing coverage information as soon as it's known.","Patient-Facing Eligibility Visibility","","High","onboarding,billing"
"Story","Reflect live eligibility outcome on the patient Insurance page","As a patient, I want to see my insurance's real eligibility status (Pending while under review, then Active, Inactive, Not Covered, or Self-Pay Confirmed once resolved), so that I know where things stand without having to call in.

Why we're working on this: the insurance submitted during onboarding needs to show up on the same patient-facing Insurance page used post-onboarding, with a status that updates as Revenue Management works the case.

Why it's important: today this status is static seed data: it needs to be driven by the actual worklist state described in the Insurance Eligibility State Machine epic.

Business impact: gives patients real-time transparency into their coverage status, reducing anxiety and support inquiries ahead of a first visit.

Acceptance criteria:
- The insurance submitted at onboarding appears on the patient's Insurance page immediately, in a Pending-equivalent state
- The displayed status updates as the linked worklist item transitions through the state machine, without requiring a manual patient-side refresh trigger beyond a normal page load","","Patient-Facing Eligibility Visibility","High","onboarding,billing"
